time,ratio
300.3905852770174,0.7841503267973848
285.64726220521425,0.7547385620915026
269.78903772730405,0.7400326797385615
255.04941250427746,0.7138888888888884
240.32272975196847,0.6991830065359472
225.02288043930596,0.6779411764705879
210.28510414066753,0.6534313725490194
194.97785913045203,0.6256535947712417
180.24008283181362,0.6011437908496732
164.94208244353933,0.5815359477124183
150.18581690101854,0.5406862745098041
135.44249382921544,0.51127451
120.6640411940358,0.45081699346405285
105.87079716375027,0.37728758169934723
89.94046463469888,0.29885620915032796
75.13982490686041,0.21879084967320417
59.80114818,0.1632352941176488
45.06337188340646,0.13872549019608016
30.336689131097486,0.12401960784313915
15.598912832459064,0.099509804
-0.235275628,0.10604575163398877
